model	display_name	selected_C	validation_average_precision	average_precision	brier	roc_auc	fit_seconds	ap_ci95_low	ap_ci95_high	bootstrap_replicates	bootstrap_unit
prevalence	Prevalence			0.6876328844790929	0.2148470411263734	0.5	0.0082857000088552	0.6753559394267756	0.699090935189064	1000	all-sequence graph component
context_only	Context	0.1	0.8108259126654339	0.8036448564430763	0.1980215511544953	0.6575234933470989	0.4567650999961188	0.7946157848851043	0.8126877450551604	1000	all-sequence graph component
support_only	Other-context support	0.01	0.8948028227313798	0.8995715431197697	0.1325671540617301	0.8516883469403057	0.2213642999995499	0.8946178866980836	0.9039540157672512	1000	all-sequence graph component
sequence_only	Low-level sequence	10.0	0.820698649242479	0.8233514567833593	0.1854164056718993	0.7153095510685665	4.446603500007768	0.8109427779438162	0.8343836918872808	1000	all-sequence graph component
context_sequence	Context + sequence	10.0	0.8826850237169418	0.8823216328735735	0.1668754190845127	0.7838725905421106	5.669040799999493	0.8736487330504283	0.889804667818129	1000	all-sequence graph component
context_support	Context + support	0.01	0.9571110058033614	0.9571531912808816	0.1060743009740897	0.9153576786142564	0.5374235999915982	0.9541333247333994	0.9596787373295338	1000	all-sequence graph component
support_sequence	Support + sequence	10.0	0.898987056009124	0.9071274953008044	0.1322769214426131	0.8540887685406293	1.7665309000003615	0.9015129490257248	0.911759480681899	1000	all-sequence graph component
full	Context + support + sequence	0.01	0.957930903174901	0.95802776805956	0.1058047678446073	0.9158491755597576	2.273200399999041	0.9549816276153174	0.9606186158310392	1000	all-sequence graph component
