partition	method	minimum_identity	minimum_bidirectional_coverage	components	non_singleton_components	largest_component	split_component_overlap	internal_context_macro_ap	internal_3mer_macro_ap	observation_context_support_ap	observation_context_support_sequence_ap	paired_macro_matched_minus_cross	paired_effect_ci95_low	paired_effect_ci95_high
primary_g80_c80	exhaustive threshold graph	0.8	0.8	18437	170	14	0	0.7198021071154597	0.3053886242427176	0.9571532149104413	0.9580277692190694	0.4932872830845791	0.461703389037124	0.5242874223624522
cluster_g70_c80	MMseqs2 easy-cluster stress test	0.7	0.8	18120	352	21	0	0.7205203963441972	0.3054742692426894	0.957563932111138	0.9584191694104252	0.4840981493437031	0.4528814199234715	0.5145042886282648
cluster_g60_c80	MMseqs2 easy-cluster stress test	0.6	0.8	17887	457	21	0	0.7201167456140183	0.3052220997531911	0.9570220071656272	0.9579026909400656	0.4946535858171368	0.4661940662783995	0.523980333317419
cluster_g80_c50	MMseqs2 easy-cluster stress test	0.8	0.5	18019	409	15	0	0.7196982330856582	0.3054052406627349	0.9576399097507446	0.9584898573093804	0.4899296421293433	0.4584280579671093	0.5199528645843184
