replicate	seed	selected_C	validation_average_precision	average_precision	brier	roc_auc	real_context_support_ap	real_minus_shuffled_ap
0	20262814	0.01	0.8177012498246088	0.8107053515597062	0.1980212918361377	0.657733487162322	0.9571531912808816	0.1464478397211753
1	20262815	10.0	0.8175793831836111	0.8105101642167054	0.1980283511617392	0.6573089688273647	0.9571531912808816	0.1466430270641762
2	20262816	0.01	0.8174038794564341	0.8106913084489658	0.1980235803235032	0.657438551771995	0.9571531912808816	0.1464618828319158
3	20262817	0.01	0.81750068106598	0.8105826119183903	0.1980258303396354	0.6573161028600731	0.9571531912808816	0.1465705793624913
4	20262818	0.01	0.8180712253677151	0.8109027904402075	0.1980237725362877	0.6574426097669127	0.9571531912808816	0.1462504008406741
5	20262819	0.01	0.8176228207899239	0.810615997945334	0.1980368512416024	0.6572273168086361	0.9571531912808816	0.1465371933355476
6	20262820	10.0	0.8174804544030279	0.81126699541276	0.1980148999941562	0.6580585126877264	0.9571531912808816	0.1458861958681215
7	20262821	0.01	0.8173927732761899	0.8109252171474832	0.1980226374265958	0.6574297427031179	0.9571531912808816	0.1462279741333984
8	20262822	1.0	0.8178874468562725	0.8110795459649587	0.1980309423276891	0.6571279849943797	0.9571531912808816	0.1460736453159229
9	20262823	0.1	0.817578880234834	0.8110777105571254	0.1980215751168116	0.6574364394223614	0.9571531912808816	0.1460754807237562
10	20262824	0.01	0.8171652235837623	0.8109458444283473	0.1980218838993072	0.657578426997489	0.9571531912808816	0.1462073468525343
11	20262825	0.1	0.8177698371379138	0.8109753856968537	0.1980214810013582	0.6576089727150013	0.9571531912808816	0.1461778055840279
12	20262826	0.1	0.8174697596744988	0.8108714914789916	0.1980193283903878	0.6576777805061469	0.9571531912808816	0.1462816998018899
13	20262827	0.1	0.8173459784943924	0.8110920465851839	0.1980213996535924	0.6578316543297532	0.9571531912808816	0.1460611446956977
14	20262828	0.01	0.8182387182957455	0.8103846012056277	0.1980292516481235	0.6572722687506495	0.9571531912808816	0.1467685900752539
15	20262829	0.01	0.817823826547103	0.8108125367473655	0.1980241740460531	0.6575391418615466	0.9571531912808816	0.146340654533516
16	20262830	1.0	0.8170304652061934	0.810895044505513	0.1980216219902468	0.6574826039672457	0.9571531912808816	0.1462581467753686
17	20262831	10.0	0.817443855343019	0.8111576471297538	0.1980223109597693	0.6575537399102307	0.9571531912808816	0.1459955441511278
18	20262832	0.01	0.8179087897537437	0.8104983058176847	0.1980227634004776	0.657476490713225	0.9571531912808816	0.1466548854631969
