analysis_set	test_pairs	test_observed_pairs	test_prevalence	model	display_name	selected_C	validation_average_precision	average_precision	brier	roc_auc	ap_ci95_low	ap_ci95_high	bootstrap_replicates	bootstrap_unit
other_context_support_gt_0	45003	30899	0.6865986711996978	context_only	Context	0.1	0.8088030450403131	0.8014217430254835	0.19865004662196067	0.6559756094807416	0.7922808645145855	0.8115243344627365	1000	all-sequence graph component
other_context_support_gt_0	45003	30899	0.6865986711996978	support_only	Other-context support	0.01	0.8957244694129382	0.9005935457780261	0.13020610432343963	0.85579532657376	0.8958705473775284	0.9050851155279404	1000	all-sequence graph component
other_context_support_gt_0	45003	30899	0.6865986711996978	context_support	Context + support	0.01	0.9574916792570173	0.957339594979826	0.10593291531476987	0.9158897443975016	0.9543681539268275	0.9601455403441598	1000	all-sequence graph component
other_context_support_gt_0	45003	30899	0.6865986711996978	full	Context + support + sequence	0.01	0.9583069052169548	0.9581977968447835	0.10565958245159776	0.9164077016279982	0.9552155109063042	0.9610284113990526	1000	all-sequence graph component
