model	display_name	macro_ap	ci95_low	ci95_high	micro_ap	macro_roc_auc	macro_f1	macro_brier	macro_ece
label_frequency	Label frequency	0.2930301468693636	0.2923972247010017	0.2936929499230665	0.8995532981424064	0.5	0.3346377019436378	0.0468902824760132	0.0007853159827851
sequence_3mer	3-mer sequence	0.3053886242427176	0.3038857238958762	0.3074785483773395	0.5429590726445983	0.6070917802497722	0.3395618933832355	0.2492687770278446	0.4442191310269511
context_only	Context prior	0.7198021071154597	0.71447910580643	0.7253182898800755	0.9942010164117492	0.9757042333392856	0.7626803598718555	0.0135629440914612	0.0009517787004982
sequence_3mer_plus_context	3-mer + context	0.7566657515368984	0.7477898132360042	0.7683363433973943	0.9750067055363436	0.982300227422625	0.7727396227829013	0.0515099242652215	0.0644711848268705
