feature_view	feature_count	model	selected_C	validation_average_precision	average_precision	brier	roc_auc	fit_seconds
composition_length	6	sequence_only	10.0	0.782329158561103	0.7869863712654119	0.1962942129545077	0.6689010469288912	0.3534589000046253
composition_length	6	full	0.01	0.9576636490694088	0.957742727458436	0.1058735376016764	0.9155915305622326	0.6859152000106405
three_mer_only	64	sequence_only	1.0	0.8146365737602563	0.8139060340546153	0.1890384405963245	0.7034210075504922	4.904338400010602
three_mer_only	64	full	0.01	0.9579959218909616	0.9579755908751776	0.1058580251343299	0.9157794725890916	2.1197211999970023
complete_70	70	sequence_only	10.0	0.820698649242479	0.8233514567833593	0.1854164056718993	0.7153095510685665	4.282712799991714
complete_70	70	full	0.01	0.957930903174901	0.95802776805956	0.1058047678446073	0.9158491755597576	2.3030560000042897
