context	model	display_name	test_pairs	observed_pairs	prevalence	average_precision	brier	roc_auc	ap_lift	normalized_ap_lift
SK-MEL-5	context_support	Context + support	2822	1645	0.5829199149539334	0.8974035664578028	0.1167609435699877	0.9027869525582789	0.3144836515038695	0.7540126291792011
SK-MEL-5	full	Context + support + sequence	2822	1645	0.5829199149539334	0.9100978542709292	0.11613683340124123	0.906216154098437	0.3271779393169958	0.7844487211151759
SK-N-DZ	prevalence	Prevalence	2822	1762	0.6243798724309001	0.6243798724309001	0.2395059287010271	0.5	0.0	0.0
SK-N-DZ	context_only	Context	2822	1762	0.6243798724309001	0.6243798724309001	0.23458921640859623	0.5	0.0	0.0
SK-N-DZ	context_support	Context + support	2822	1762	0.6243798724309001	0.8959328966291371	0.12648487751472062	0.8818722827832866	0.271553024198237	0.722945881403231
SK-N-DZ	full	Context + support + sequence	2822	1762	0.6243798724309001	0.9083406854260696	0.1252816234753452	0.885293298781402	0.2839608129951695	0.7559786927097815
SK-N-SH	prevalence	Prevalence	2822	1942	0.6881644223954642	0.6881644223954642	0.21463982358372932	0.5	0.0	0.0
SK-N-SH	context_only	Context	2822	1942	0.6881644223954642	0.6881644223954642	0.21462902519086974	0.5	0.0	0.0
SK-N-SH	context_support	Context + support	2822	1942	0.6881644223954642	0.9201396187325773	0.12323050939285773	0.8755831031738601	0.23197519633711317	0.7439022773446968
SK-N-SH	full	Context + support + sequence	2822	1942	0.6881644223954642	0.9312993829531089	0.12263642088636244	0.8777338264207472	0.24313496055764472	0.7796896121519015
