context	other_context_support	test_pairs	observed_pairs	observed_fraction	ci95_low	ci95_high
A549	1	152	3	0.019736842105263157	0.006734651887011962	0.05641580175457883
A549	2	136	10	0.07352941176470588	0.04042734124573684	0.1300618614682011
A549	3	123	14	0.11382113821138211	0.06902284440685469	0.18201068293301853
A549	4	109	29	0.26605504587155965	0.1920985866032066	0.35593986900521163
A549	5	90	33	0.36666666666666664	0.27447254779029884	0.46977695236018824
A549	6	100	50	0.5	0.4038315303659956	0.5961684696340044
A549	7	102	52	0.5098039215686274	0.4142102142804601	0.6046859727362758
A549	8	91	60	0.6593406593406593	0.5572871428187045	0.7484863064786853
A549	9	121	94	0.7768595041322314	0.6948104852927252	0.8418702026206545
A549	10	85	64	0.7529411764705882	0.6516544727451419	0.8323537883842203
A549	11	124	102	0.8225806451612904	0.7459599478681783	0.8798151390088039
A549	12	171	147	0.8596491228070176	0.7996578146626584	0.9038366587284651
A549	13	329	305	0.9270516717325228	0.8937538605148245	0.9504919284431497
A549	14	644	606	0.9409937888198758	0.920046447114732	0.9567112723340443
A549	15	445	435	0.9775280898876404	0.959133433696851	0.9877487930846581
GM12878	0	5	5	1.0	0.5655175352168251	1.0
GM12878	1	169	25	0.14792899408284024	0.10225021314643512	0.20925756506868232
GM12878	2	135	31	0.22962962962962963	0.16675102985554907	0.3074694182724459
GM12878	3	121	33	0.2727272727272727	0.20128474291731485	0.35815648342244794
GM12878	4	92	31	0.33695652173913043	0.24863604579205323	0.43834701593151904
GM12878	5	94	39	0.4148936170212766	0.32055034593510945	0.5159197947102598
GM12878	6	98	54	0.5510204081632653	0.4524754605807967	0.6457163771618889
GM12878	7	98	52	0.5306122448979592	0.43252467204457545	0.6263904306010359
GM12878	8	88	57	0.6477272727272727	0.5436598679108756	0.7394366805744971
GM12878	9	104	74	0.7115384615384616	0.6181654431122143	0.7898409069609791
GM12878	10	103	62	0.6019417475728155	0.5053868568583854	0.6911660565124728
GM12878	11	125	101	0.808	0.7301890873783063	0.8674446300973646
GM12878	12	177	152	0.8587570621468926	0.799807879636446	0.9024647122138642
GM12878	13	347	328	0.9452449567723343	0.9160703131553385	0.9646693834548099
GM12878	14	619	604	0.975767366720517	0.9604053468481243	0.9852606676063879
GM12878	15	447	435	0.9731543624161074	0.9536678495095485	0.9845777171392653
