feature_view	feature_count	model	selected_C	validation_average_precision	average_precision	brier	roc_auc	fit_seconds
composition_length	6	sequence_only	10.0	0.782329158561103	0.7869863712654119	0.1962942129545077	0.6689010469288912	0.3534589000046253
composition_length	6	full	0.01	0.9576636490694089	0.9577427274584359	0.10587353760167648	0.9155915305622326	0.6859152000106405
three_mer_only	64	sequence_only	1.0	0.8146365737602563	0.8139060340546153	0.18903844059632458	0.7034210075504922	4.904338400010602
three_mer_only	64	full	0.01	0.9579959218909615	0.9579755908751777	0.10585802513432999	0.9157794725890915	2.1197211999970023
complete_70	70	sequence_only	10.0	0.820698649242479	0.8233514567833593	0.1854164056718993	0.7153095510685665	4.282712799991714
complete_70	70	full	0.01	0.957930903174901	0.9580277680595601	0.10580476784460738	0.9158491755597575	2.3030560000042897
